location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-01,0.4775002,-5.8224993,-2.416958,2.3000002,0.60362035
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-02,-0.6724999,-10.122499,-4.5454164,0.0,0.7044339
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-03,2.2775002,-5.3224993,-1.6079165,0.0,0.7280416
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-04,0.2275002,-6.6724997,-3.262083,0.5,0.5859378
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-05,-0.72249985,-7.0724993,-4.2641664,0.90000004,0.6203678
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-06,3.5775,-6.3224993,-1.2912496,0.0,0.8082521
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-07,4.7775,-6.9725,0.75458354,3.3999999,0.51483476
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-08,4.5275,-11.0225,-2.357916,0.0,0.90075356
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-09,5.0775003,-0.7724998,2.3983333,0.0,0.8320781
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-10,7.9775,-0.1724999,2.68375,0.0,1.0371286
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-11,3.3775,-2.5725,0.19625008,7.1,0.6234
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-12,-3.4225,-15.1725,-10.07875,1.5,0.62356836
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-13,-6.3724995,-18.022501,-12.482917,0.0,0.7241319
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-14,-2.7724998,-16.622501,-9.141252,0.0,0.7592662
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-15,2.1275,-9.9725,-2.962083,0.90000004,0.69820005
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-16,4.6275,-7.2225,-0.089166515,0.0,0.9092007
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-17,5.7275,-2.5725,1.0191668,0.0,0.9849461
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-18,6.8275003,-1.8225,2.3025005,0.3,0.8817057
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-19,6.9275,1.7275001,3.8920834,9.4,0.5919178
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-20,2.3775,-3.8724997,-0.25583327,20.4,0.32801118
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-21,-2.4225,-11.0225,-5.6349998,2.7999997,0.4412016
Berovo,41.7047,22.8556,827,842.0,15.0,1950-01-22,-4.9725,-15.972499,-11.19125,0.5,0.6136222
