location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-01,2.2825003,-6.19,-2.6411455,10.099998,0.3714104
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-02,-2.34,-7.79,-5.0462494,0.0,0.63726866
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-03,1.81,-8.24,-2.8295832,1.4,0.6863918
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-04,2.1100001,-2.99,-0.98791647,4.6,0.6442061
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-05,1.4100001,-7.1900005,-3.073334,0.0,0.63585895
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-06,4.36,-7.59,-1.1254165,0.0,0.7514333
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-07,5.7599998,-1.0899999,2.5599997,0.2,0.53255063
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-08,4.46,-0.089999974,1.7683334,0.0,0.6368677
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-09,5.71,-3.64,0.6787501,0.0,0.7633616
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-10,7.56,-3.4399998,1.7225,0.0,0.76850814
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-11,6.2599998,0.46000004,2.76625,5.0,0.82174194
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-12,0.01000005,-8.09,-5.335833,1.6000001,0.58416027
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-13,-4.59,-9.14,-7.0087504,0.0,0.7236847
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-14,-2.1399999,-10.59,-5.696249,0.0,0.7073484
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-15,3.26,-6.6400003,-1.2441667,0.0,0.8395068
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-16,5.3599997,-4.84,-0.35666668,0.0,0.90589726
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-17,8.26,-1.79,2.4183333,0.0,0.84171754
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-18,9.01,1.86,4.9850006,2.0000002,0.6420841
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-19,6.7599998,2.8600001,4.326667,11.300001,0.41278523
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-20,2.96,-3.14,0.0725,14.9,0.4053029
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-21,-3.5399997,-7.29,-5.1462502,2.7999997,0.4731848
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-22,-5.69,-13.84,-8.360835,0.0,0.5430901
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-23,-5.9900002,-11.59,-8.8566675,0.4,0.5518171
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-24,-5.1400003,-10.34,-7.9170823,2.0,0.38900396
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-25,-3.2899997,-12.04,-7.6024995,0.0,0.63888365
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-26,-0.8899999,-19.64,-8.510832,0.0,0.7965422
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-27,1.4100001,-13.440001,-5.9233327,0.0,0.8689592
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-28,2.6100001,-13.89,-4.04,0.0,0.8582152
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-29,4.7599998,-2.54,0.7141668,2.1000001,0.8817288
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-30,5.41,-0.94,1.9287502,2.7999997,0.98100156
Bitola,41.0314,21.3347,589,615.0,26.0,1950-01-31,-0.84,-10.24,-5.110833,1.1000001,0.65801257
Bitola,41.0314,21.3347,589,615.0,26.0,1950-02-01,1.3100001,-16.84,-6.60875,0.0,0.8678395
Bitola,41.0314,21.3347,589,615.0,26.0,1950-02-02,1.76,-7.6400003,-2.4858334,0.4,0.7341702
Bitola,41.0314,21.3347,589,615.0,26.0,1950-02-03,-2.24,-9.09,-5.1358333,0.0,0.7769032
Bitola,41.0314,21.3347,589,615.0,26.0,1950-02-04,1.26,-14.190001,-5.842083,0.0,1.015471
Bitola,41.0314,21.3347,589,615.0,26.0,1950-02-05,-1.54,-10.59,-6.2358336,0.0,0.9419291
Bitola,41.0314,21.3347,589,615.0,26.0,1950-02-06,1.76,-9.84,-4.725416,0.2,0.8690938
Bitola,41.0314,21.3347,589,615.0,26.0,1950-02-07,3.21,-4.84,-0.40458336,2.3000002,0.67274636
Bitola,41.0314,21.3347,589,615.0,26.0,1950-02-08,5.0099998,-0.79,1.96625,1.6000003,0.797407
Bitola,41.0314,21.3347,589,615.0,26.0,1950-02-09,6.7599998,1.46,3.2808332,0.1,1.045913
Bitola,41.0314,21.3347,589,615.0,26.0,1950-02-10,6.31,-0.44,2.7766669,0.2,1.2526364
Bitola,41.0314,21.3347,589,615.0,26.0,1950-02-11,7.6099997,-4.19,1.3120834,0.0,1.3141872
