location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-01,3.0800002,-9.823,-4.1999583,6.3999996,0.551828
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-02,-5.223,-20.323,-11.427167,0.0,0.49693546
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-03,-0.6229999,-14.673,-6.6459174,6.8999996,0.62655157
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-04,1.577,-8.573,-2.5084164,6.7,0.75095433
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-05,0.477,-14.223,-6.566751,0.0,0.624016
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-06,3.477,-9.573,-1.7125831,1.5000001,0.6082276
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-07,4.877,2.3270001,3.7790835,6.6,0.4697786
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-08,5.627,-3.073,1.1624168,0.0,0.76299417
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-09,3.777,-6.4230003,-0.92300004,0.0,0.7952204
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-10,4.727,-7.023,-1.5542498,0.0,0.6407652
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-11,5.077,-3.723,0.727,0.6,0.80131245
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-12,-1.273,-14.573,-8.1855,0.0,0.62329423
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-13,-5.123,-18.573,-11.848001,0.0,0.6889135
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-14,-2.223,-16.573,-8.933417,0.0,0.6997645
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-15,3.177,-7.6730003,-2.100083,0.0,0.8012519
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-16,3.777,-8.523,-1.8875834,0.0,0.8508087
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-17,6.177,-1.9229999,2.70825,0.0,0.6611293
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-18,5.177,3.0770001,3.9645004,6.0,0.5074887
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-19,4.777,1.677,2.993667,5.8999996,0.5801695
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-20,1.7770001,-3.9229999,-0.058416586,9.100002,0.5183446
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-21,-3.0229998,-10.423,-5.420917,2.4999998,0.49412504
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-22,-6.323,-19.823,-11.802167,0.0,0.5527041
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-23,-7.373,-19.523,-13.200082,0.0,0.543524
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-24,-5.973,-15.323,-10.939666,1.5000001,0.44431424
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-25,-4.023,-14.323,-9.468832,0.0,0.6631299
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-26,-1.1729999,-15.823,-8.333416,0.0,0.84285206
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-27,1.177,-16.323,-7.154251,0.0,0.92983305
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-28,1.827,-12.823,-4.175082,0.4,0.7771481
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-29,4.177,-0.023000002,2.50825,14.5,0.60013443
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-30,3.127,0.52700007,1.877,11.600002,0.6344534
Debar,41.5239,20.5239,670,651.0,-19.0,1950-01-31,-0.17299998,-8.123,-3.5521667,0.0,0.90342414
Debar,41.5239,20.5239,670,651.0,-19.0,1950-02-01,-0.57299995,-12.373,-5.9084167,0.0,0.93469274
