location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Gevgelija,41.1414,22.5011,55,64,9,01-01-50,5.6105003,-3.9554996,0.9805832,7.3,0.4466997
Gevgelija,41.1414,22.5011,55,64,9,02-01-50,1.8945,-5.2054996,-1.5117496,0,0.7460216
Gevgelija,41.1414,22.5011,55,64,9,03-01-50,2.4945002,-4.8055,-0.7909167,0,0.7275686
Gevgelija,41.1414,22.5011,55,64,9,04-01-50,6.7945004,-1.5554999,1.6799165,1.5,0.9055551
Gevgelija,41.1414,22.5011,55,64,9,05-01-50,6.4945,-2.4055,1.0111668,0.2,1.1230075
Gevgelija,41.1414,22.5011,55,64,9,06-01-50,7.2445,-0.8555,2.7674167,0,0.93545705
Gevgelija,41.1414,22.5011,55,64,9,07-01-50,9.1945,-0.75549996,3.4215834,0.7,0.7431285
Gevgelija,41.1414,22.5011,55,64,9,08-01-50,9.2445,-1.9055,2.1299164,0,0.9039909
Gevgelija,41.1414,22.5011,55,64,9,09-01-50,10.094501,0.14450002,4.7570004,0,1.0186428
Gevgelija,41.1414,22.5011,55,64,9,10-01-50,12.2445,-0.9555,4.132,0,1.1316812
Gevgelija,41.1414,22.5011,55,64,9,11-01-50,8.0945,0.44450003,3.5320003,9.8,0.7296786
Gevgelija,41.1414,22.5011,55,64,9,12-01-50,-0.05549991,-7.2555,-3.0513327,4.9999995,0.6822649
Gevgelija,41.1414,22.5011,55,64,9,13-01-50,-2.6555,-9.905499,-6.726334,0,0.73463285
Gevgelija,41.1414,22.5011,55,64,9,14-01-50,-0.50549996,-11.0055,-5.903416,0,0.82105833
Gevgelija,41.1414,22.5011,55,64,9,15-01-50,5.4445,-7.0555,-0.6638331,0,0.9331565
Gevgelija,41.1414,22.5011,55,64,9,16-01-50,4.7945,-2.5054998,1.2174166,0,0.8997974
Gevgelija,41.1414,22.5011,55,64,9,17-01-50,8.5945,-0.8555,3.6549168,0,1.033738
Gevgelija,41.1414,22.5011,55,64,9,18-01-50,10.9445,3.3945003,6.971584,0.8000001,1.0099955
Gevgelija,41.1414,22.5011,55,64,9,19-01-50,8.9945,5.8945003,7.209084,15.4,0.467649
Gevgelija,41.1414,22.5011,55,64,9,20-01-50,6.2945004,0.094500065,2.6403334,27.3,0.27621663
Gevgelija,41.1414,22.5011,55,64,9,21-01-50,-0.2055,-10.5055,-3.5450833,1.4000001,0.5024748
Gevgelija,41.1414,22.5011,55,64,9,22-01-50,-1.5554999,-12.2555,-7.9263325,0,0.70727766
Gevgelija,41.1414,22.5011,55,64,9,23-01-50,-1.9055,-10.9555,-6.5950828,0.6,0.7066842
Gevgelija,41.1414,22.5011,55,64,9,24-01-50,-2.1555,-9.9555,-5.463833,0,0.59333503
Gevgelija,41.1414,22.5011,55,64,9,25-01-50,0.8945,-8.9555,-4.1221657,0,0.85386354
Gevgelija,41.1414,22.5011,55,64,9,26-01-50,1.8445001,-15.405499,-5.86175,0,0.91038007
Gevgelija,41.1414,22.5011,55,64,9,27-01-50,2.0444999,-12.2055,-4.2825828,0,0.9961848
Gevgelija,41.1414,22.5011,55,64,9,28-01-50,2.5945,-12.1055,-2.6513333,0,0.936746
Gevgelija,41.1414,22.5011,55,64,9,29-01-50,2.4445,-1.3054999,0.66116667,5.8,0.5236582
Gevgelija,41.1414,22.5011,55,64,9,30-01-50,3.4445,-0.7055,1.2965835,3.5,0.75497264
Gevgelija,41.1414,22.5011,55,64,9,31-01-50,1.0945001,-10.1055,-3.4784164,4.5999994,0.6484057
Gevgelija,41.1414,22.5011,55,64,9,01-02-50,0.84450006,-14.6055,-5.1888328,0,0.92097175
Gevgelija,41.1414,22.5011,55,64,9,02-02-50,2.5945,-9.6055,-2.9492495,0,0.8895436
Gevgelija,41.1414,22.5011,55,64,9,03-02-50,0.19450003,-10.405499,-5.340916,0,0.9488308
Gevgelija,41.1414,22.5011,55,64,9,04-02-50,2.2944999,-15.205501,-5.5825825,0,1.0434635
Gevgelija,41.1414,22.5011,55,64,9,05-02-50,-0.8555,-6.9554996,-3.4388332,0.1,0.8059951
Gevgelija,41.1414,22.5011,55,64,9,06-02-50,0.34450006,-7.5055,-2.943,0.2,0.73895293
Gevgelija,41.1414,22.5011,55,64,9,07-02-50,3.5444999,-2.9555001,1.332,3.5000005,0.43722337
Gevgelija,41.1414,22.5011,55,64,9,08-02-50,7.3445,2.7445002,4.9445004,3.8,0.5664826
Gevgelija,41.1414,22.5011,55,64,9,09-02-50,8.6945,1.4445,5.0195,0,1.0866303
Gevgelija,41.1414,22.5011,55,64,9,10-02-50,10.094501,-0.8555,4.3445005,0,1.3435192
Gevgelija,41.1414,22.5011,55,64,9,11-02-50,12.4445,-3.0555,5.12575,0,1.5406295
Gevgelija,41.1414,22.5011,55,64,9,12-02-50,13.844501,0.59450006,7.429917,0,1.7084721
Gevgelija,41.1414,22.5011,55,64,9,13-02-50,13.8945,-1.0554999,7.000751,0,1.8504894
Gevgelija,41.1414,22.5011,55,64,9,14-02-50,12.9945,3.4945002,8.090333,0,1.6126567
Gevgelija,41.1414,22.5011,55,64,9,15-02-50,13.9945,0.49450004,7.417417,0,1.4319514
Gevgelija,41.1414,22.5011,55,64,9,16-02-50,13.0445,-0.05549991,5.840334,0,1.7750092
