location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-01,1.5575001,-7.6885,-3.1970003,2.3,0.479079
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-02,-2.1885,-17.738499,-8.659333,0.0,0.61761296
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-03,2.2115002,-17.1885,-5.809334,2.1,0.72993106
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-04,2.7115002,-5.9385,-1.476,3.0000002,0.7280659
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-05,1.9115001,-11.5385,-4.7989163,0.6,0.69827217
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-06,5.3615,-8.438499,-0.26766637,0.0,0.70985365
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-07,6.9115,1.0115001,4.25525,2.6999998,0.47540253
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-08,5.9615,-2.0384998,1.753167,0.0,0.8165284
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-09,5.9615,-5.9885,0.31358337,0.0,0.8710215
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-10,6.7115,-8.8885,-0.13641672,0.0,0.6679024
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-11,5.6115,-1.3884997,1.9010835,2.3,0.7818379
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-12,-1.5885,-15.738499,-8.609332,0.0,0.586348
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-13,-4.4885,-17.738499,-11.367668,0.0,0.70401406
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-14,-0.8885,-13.3885,-7.7968335,0.0,0.72939616
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-15,5.5115004,-10.1385,-1.2218335,0.0,0.83800507
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-16,6.5115004,-9.3885,-1.2030833,0.0,0.9796693
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-17,7.3115,-4.2885,2.109417,0.0,0.7934681
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-18,8.811501,3.3615,5.66775,4.3,0.68479466
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-19,7.6115003,3.0615,4.7490005,17.0,0.4837902
Gostivar,41.7956,20.9089,510,532.0,22.0,1950-01-20,2.9115,-4.6384997,-1.2155833,21.7,0.36623254
