location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-01,2.8060002,-4.1205,-0.2923125,2.7999997,0.57248265
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-02,-0.17049998,-5.4705,-2.9705002,0.0,0.80057615
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-03,2.9795,-5.7205,-1.2100832,0.0,0.8004521
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-04,5.1295,-0.62049997,2.0149167,1.5000001,0.8016832
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-05,4.8295,-3.2705,0.6753332,0.4,0.95656615
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-06,7.1295,-4.3705,0.36075008,0.0,0.9119349
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-07,6.4295,-1.6705,2.2607498,2.0,0.5027788
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-08,7.1795,-3.0705,1.6149168,0.0,0.780401
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-09,9.2295,-2.3705,2.9503334,0.0,0.96771806
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-10,9.7795,-2.7205,3.7045,0.0,0.9426037
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-11,7.7795,0.7295,4.419083,4.9,0.8183946
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-12,0.32950002,-7.8704996,-4.047583,0.1,0.8966443
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-13,-1.8705001,-7.7705,-4.991334,0.0,0.8871403
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-14,0.3795,-6.6705,-3.4829996,0.0,0.9095749
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-15,6.3295,-5.7705,0.64825004,0.0,1.0105402
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-16,8.5795,-3.7205,1.5315832,0.0,1.0345769
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-17,11.0295,-1.9705,3.1169999,0.0,1.0571357
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-18,11.9295,1.1295,6.071167,0.0,0.99834085
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-19,9.2295,4.9295,6.639917,4.3,0.41036785
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-20,4.5795,-3.4205,0.2836666,21.800001,0.28262618
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-21,-3.9705,-7.1205,-5.318417,1.9000001,0.49584803
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-22,-3.3205,-12.2705,-6.8496666,0.0,0.65188533
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-23,-4.5205,-10.6705,-7.808,0.0,0.6414887
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-24,-3.1205,-10.2705,-6.8746667,0.0,0.58076096
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-25,-0.42049998,-16.5705,-7.516334,0.0,0.8150988
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-26,-0.17049998,-19.2205,-9.3705,0.0,0.8276684
Kavadarci,41.4331,22.0119,270,277.0,7.0,1950-01-27,1.8295,-15.7205,-7.293415,0.0,0.9290471
