location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-01,2.1315,-6.8055,-2.4018748,4.8,0.5001172
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-02,-2.2555,-16.1555,-8.084666,0.0,0.6068713
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-03,1.0945001,-15.855499,-6.013832,2.3000002,0.70085526
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-04,2.2945,-9.155499,-2.251333,4.7999997,0.7454239
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-05,1.4945002,-14.105499,-6.767999,0.1,0.6730875
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-06,4.1445003,-12.4555,-2.382583,0.0,0.69122064
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-07,6.1445,-0.40549994,3.3132503,1.5000001,0.46928015
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-08,6.6445,-4.0555,0.86741686,0.0,0.77193785
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-09,5.0445004,-5.9554996,-0.92216665,0.0,0.80166334
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-10,6.7945004,-9.3055,-0.9096666,0.0,0.67071766
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-11,6.3945,-1.8054998,1.71325,3.1000001,0.8069414
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-12,-1.6554999,-13.155499,-7.118,0.2,0.6429649
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-13,-3.9054997,-16.6055,-10.670083,0.0,0.73698395
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-14,-1.1554999,-18.1555,-9.04925,0.0,0.7554307
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-15,4.4945,-12.105499,-2.6950836,0.0,0.8348809
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-16,5.1445,-9.855499,-2.2992494,0.0,0.8931732
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-17,7.9445,-5.0555,2.1320002,0.0,0.8281087
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-18,8.2945,3.8445,5.3986664,3.9,0.6335167
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-19,6.9945,2.3945,4.0986667,11.099999,0.4628562
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-20,2.3945,-4.1554995,-0.10758329,17.8,0.40566236
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-21,-2.3054998,-10.7055,-5.351333,2.8999994,0.5041954
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-22,-4.5055,-20.9555,-11.097167,0.2,0.5707487
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-23,-5.4054995,-16.9555,-10.992999,0.0,0.61820877
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-24,-4.5555,-13.2555,-9.005499,1.1,0.4601161
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-25,-2.1554997,-12.8055,-7.79925,0.0,0.7299705
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-26,0.49450016,-16.255499,-7.440916,0.0,0.9022595
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-27,2.5445,-19.1055,-7.328417,0.0,0.9656878
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-28,2.8445,-17.8055,-5.3346653,0.0,0.8378936
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-29,5.8445,-0.50549984,2.1445003,4.9000006,0.70659554
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-30,5.3445,0.094500065,2.3403332,6.1999993,0.7843396
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-01-31,-0.5554998,-9.655499,-4.0575833,1.0000001,0.8594924
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-01,2.4945002,-17.7055,-6.5263333,0.0,0.9970724
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-02,2.6445,-11.5055,-3.0534155,1.1000001,0.7028597
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-03,-0.7054999,-11.9555,-5.83675,0.1,0.90284604
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-04,2.9445,-19.0555,-7.2929997,0.0,1.1589837
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-05,0.84450006,-12.8055,-5.913833,0.0,1.0922688
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-06,3.1945,-13.3055,-3.8659155,0.3,0.9767648
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-07,3.9945002,-2.1055,0.87783337,3.6999996,0.68060297
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-08,5.4945,-0.50549984,2.8965833,0.1,0.9894538
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-09,6.0445004,0.6945001,3.3153334,0.2,1.0271904
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-10,6.6945,-2.3555,1.9695001,0.2,1.2108216
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-11,6.9945,-5.2555,0.78616667,0.0,1.3410169
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-12,8.594501,-1.5054998,3.3882506,1.2,1.2354058
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-13,6.8445005,-2.2555,2.6049173,0.0,1.5472766
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-14,10.1945,-3.4054997,3.7153332,0.0,1.6789573
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-15,10.844501,-1.2554998,4.2945004,0.0,1.4536515
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-16,9.8945,-3.1055,2.8736665,0.0,1.6583141
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-17,12.1945,-1.0054998,5.2736664,0.0,1.9810914
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-18,13.394501,-0.3054998,6.4236674,0.0,1.9161944
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-19,14.144501,1.7445002,7.4965835,0.0,2.0033681
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-20,14.344501,-0.75549984,6.3174167,0.0,2.0925395
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-21,13.7945,-1.9554999,5.6528335,0.0,2.0645409
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-22,8.9945,2.0945,4.544501,12.100002,0.44938606
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-23,5.9945,-0.6055,2.80075,0.0,1.2264731
Kicevo,41.5131,20.9589,630,619.0,-11.0,1950-02-24,8.6945,-2.5554998,2.0465832,0.0,1.8752284
