location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-01,3.788,-3.762,0.18879163,0.70000005,0.7556154
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-02,0.388,-5.262,-2.9036667,0.0,0.776711
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-03,3.038,-3.3119998,-0.55158335,0.0,0.7769339
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-04,4.9379997,-0.91199994,1.5817499,0.1,0.73533446
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-05,4.0880003,0.18799996,1.3588332,0.6,0.89525926
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-06,6.338,-0.612,2.1067502,0.0,0.93652254
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-07,7.238,-1.7620001,3.0609167,1.7000002,0.46886104
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-08,7.638,-3.1620002,1.7775835,0.0,0.93089044
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-09,8.188,0.838,4.4005003,0.0,0.922979
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-10,10.6380005,0.73800004,4.5088334,0.0,0.9908873
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-11,7.238,0.08800006,3.2546666,2.6,0.7184477
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-12,-0.7119999,-9.412001,-5.7578335,0.0,1.0034307
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-13,-2.112,-10.212,-6.6474166,0.0,0.9243756
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-14,0.18799996,-8.6119995,-4.2849164,0.0,0.7726045
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-15,5.988,-4.412,1.2525833,0.6,0.8343239
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-16,7.288,-1.362,2.5359168,0.0,0.9783621
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-17,9.3880005,0.788,3.7255003,0.0,1.0189669
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-18,11.688,1.188,5.6692505,1.5000001,1.0450822
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-19,10.238001,4.0880003,6.4775834,6.8,0.60877126
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-20,4.4379997,-4.412,-0.3078333,16.400003,0.35539526
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-21,-3.112,-13.261999,-6.9724164,2.1,0.4560832
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-22,-2.462,-14.712,-9.053668,0.1,0.6905645
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-23,-3.462,-14.511999,-10.072416,0.0,0.68335795
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-24,-2.362,-15.411999,-8.109915,0.0,0.68896186
Kochani,41.9167,22.4167,350,395.0,45.0,1950-01-25,0.037999988,-13.912001,-7.007833,0.0,0.8817591
