location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-01,1.531,-4.665,-0.95891666,0.0,0.71969754
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-02,0.23500004,-6.265,-3.6691663,0.0,0.8375647
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-03,2.4850001,-4.665,-1.1920832,0.5,0.71208894
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-04,3.835,-1.565,0.26833335,1.0,0.6536879
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-05,3.435,-1.9649999,0.09125006,1.0000001,0.97859764
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-06,5.335,-1.2149999,1.4120833,0.0,0.9428096
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-07,6.285,-2.0149999,2.4058335,0.7,0.44732648
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-08,6.985,-3.4650002,1.3266667,0.0,0.7735632
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-09,8.235001,0.38500005,4.0225005,0.0,0.91832817
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-10,9.335,-0.06499994,3.2370837,0.0,0.8689081
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-11,5.685,-1.615,2.0537498,2.1999998,0.6505088
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-12,-2.815,-8.965,-6.150417,0.0,0.94324696
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-13,-2.415,-9.865,-7.0108333,0.0,0.9368036
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-14,0.63500005,-8.265,-3.6754162,0.0,0.8754484
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-15,6.585,-3.7150002,1.3100001,0.5,0.8942396
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-16,7.685,-0.41499996,3.0683336,0.0,1.00819
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-17,8.235001,0.28500003,3.6745834,0.0,0.9725133
Kumanovo,42.1322,21.7144,340,342.0,2.0,1950-01-18,10.135,1.885,5.4516664,0.0,0.9139381
