location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-01,-1.746,-11.121,-6.147042,5.7,0.4773406
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-02,-6.171,-21.870998,-12.443916,0.0,0.5009853
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-03,-3.071,-19.720999,-10.281417,4.3,0.5667014
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-04,-3.3709998,-15.521,-7.5730834,5.7,0.6186711
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-05,-3.7210002,-18.470999,-12.010582,0.0,0.51996267
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-06,0.42900002,-16.421,-6.200165,0.6,0.56445616
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-07,1.429,-2.571,-0.033500012,3.2000003,0.41678292
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-08,1.8790001,-8.521,-2.8251667,0.0,0.68561375
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-09,2.029,-9.871,-4.6335,0.0,0.73192686
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-10,2.6290002,-11.721,-4.462666,0.0,0.6015159
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-11,1.279,-7.6210003,-3.2251666,1.8000002,0.7150939
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-12,-4.221,-17.821,-10.591833,0.3,0.5528642
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-13,-7.321,-22.521,-14.766834,0.0,0.6124442
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-14,-4.6210003,-21.870998,-12.575166,0.0,0.63263136
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-15,0.829,-13.221,-6.1647496,0.0,0.7197008
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-16,2.429,-11.9210005,-5.054333,0.0,0.8181022
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-17,3.229,-7.571,-1.331417,0.0,0.6681656
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-18,2.679,-1.221,0.6415001,4.5000005,0.49787393
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-19,2.079,-1.421,0.095666744,8.7,0.4745171
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-20,-0.771,-6.521,-2.850167,13.900001,0.41805363
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-21,-5.071,-12.821,-7.712667,2.6999996,0.44305706
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-22,-9.521,-23.120998,-15.464751,0.0,0.46499193
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-23,-9.771,-21.120998,-15.685582,0.0,0.5009941
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-24,-7.171,-17.021,-12.216832,1.2,0.4143621
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-25,-5.3710003,-15.771001,-10.798084,0.0,0.6385824
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-26,-3.1209998,-19.021,-10.525166,0.0,0.7785013
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-27,-1.421,-21.071,-10.541831,0.0,0.8532115
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-28,-1.271,-18.421,-8.220998,0.1,0.7036741
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-29,1.529,-4.171,-1.47725,8.600001,0.5811394
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-30,0.12900001,-3.3709998,-1.7730832,8.900001,0.61328906
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-01-31,-3.8710003,-10.971,-6.4209995,0.6,0.80164456
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-01,-2.171,-17.421,-9.121,0.0,0.8482733
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-02,-0.921,-12.6710005,-5.971,0.8000001,0.57654935
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-03,-4.3710003,-14.1710005,-8.793916,0.1,0.79397297
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-04,-0.72099996,-20.671,-10.429331,0.0,1.0218396
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-05,-2.421,-16.370998,-8.848083,0.0,0.9503119
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-06,-0.821,-14.1710005,-6.1814175,0.9,0.8315284
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-07,0.629,-4.6210003,-1.9897496,5.7999988,0.64143
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-08,2.329,-4.021,-0.9043332,0.0,0.9376732
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-09,1.329,-2.9710002,-1.1689166,0.4,0.9243087
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-10,2.329,-6.671,-1.8647503,0.2,1.0231318
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-11,4.029,-6.271,-1.4335002,0.0,1.2457141
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-12,4.479,-3.6210003,0.41024995,3.5,1.0278573
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-13,3.179,-6.071,-1.3751665,0.0,1.3572412
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-14,4.129,-6.6210003,-0.7085003,0.0,1.464558
Lazaropole,41.5394,20.6956,1330,1311.0,-19.0,1950-02-15,4.129,-5.171,-0.95641667,0.0,1.1998907
