location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-01,3.612,-4.471,0.3699584,2.7999997,0.66438174
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-02,0.97900003,-5.6210003,-2.5730834,0.0,0.8114091
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-03,3.429,-4.8710003,-0.47724998,0.0,0.820903
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-04,5.329,-1.071,1.7914997,1.5000001,0.7982546
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-05,4.979,-2.1209998,1.3810834,0.4,1.0083629
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-06,7.029,-2.8709998,1.4060832,0.0,0.98912483
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-07,6.6289997,-0.371,2.9831665,2.0,0.52578187
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-08,7.279,-2.521,1.6560831,0.0,0.7750991
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-09,9.429,-0.62099993,4.129,0.0,0.97822195
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-10,9.979,-1.221,3.7310836,0.0,0.90240115
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-11,7.929,0.579,4.27275,4.9,0.81446725
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-12,0.17900002,-7.771,-3.8439167,0.1,0.9472242
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-13,-1.271,-7.9210005,-4.837667,0.0,0.9039895
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-14,0.879,-6.171,-2.9855833,0.0,0.9352152
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-15,6.529,-4.421,0.9831665,0.0,1.006235
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-16,8.679,-1.8709999,2.3227499,0.0,1.0223415
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-17,10.729,-0.87099993,3.545667,0.0,1.0557104
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-18,11.729,1.029,5.945667,0.0,0.99098253
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-19,9.729,5.429,7.076917,4.3,0.4271103
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-20,5.279,-2.8709998,0.8539998,21.800001,0.29393455
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-21,-3.3709998,-6.971,-4.873084,1.9000001,0.5139463
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-22,-2.671,-10.621,-6.462666,0.0,0.6907591
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-23,-3.821,-10.371,-7.4730835,0.0,0.667744
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-24,-2.571,-10.521,-6.556417,0.0,0.6028372
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-25,0.17900002,-13.771,-6.2397504,0.0,0.83357394
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-26,0.42900002,-16.370998,-7.5918326,0.0,0.8817413
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-27,2.1290002,-13.521,-5.7876663,0.0,0.96997315
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-28,2.029,-11.821,-3.8210003,0.0,0.91794455
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-29,2.8790002,-2.571,0.010250154,2.0,0.57456005
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-30,3.479,-1.471,0.5185834,2.4,0.7675064
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-01-31,-1.9209999,-10.571,-5.671,1.5000001,0.6537716
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-01,0.52900004,-17.120998,-7.331415,0.0,0.89143574
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-02,1.579,-9.9210005,-3.1043332,0.0,0.8581442
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-03,-1.571,-10.521,-5.3855834,0.0,0.83254075
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-04,1.179,-15.271,-6.516834,0.0,1.0511287
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-05,-0.22099996,-11.471,-5.966833,0.0,0.9452637
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-06,1.129,-10.4210005,-4.985584,0.0,0.82129145
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-07,3.1290002,-6.021,-0.052250158,0.4,0.5486072
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-08,7.529,0.22900002,3.7894163,0.6,0.74949706
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-09,8.8289995,1.079,4.495667,0.0,0.96335465
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-10,10.3289995,0.47900003,4.843583,0.0,1.3545194
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-11,11.979,-2.571,4.229,0.0,1.5537852
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-12,14.679,0.079000026,6.856083,0.0,1.890546
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-13,13.229,0.17900002,5.8519173,0.0,1.7990342
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-14,13.229,-0.020999968,5.5852504,0.0,1.6591787
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-15,12.179,-0.020999968,6.1102505,0.0,1.3517498
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-16,10.5789995,0.879,5.5519166,0.0,1.6136019
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-17,13.779,1.079,7.6123333,0.0,1.9557962
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-18,13.979,2.6290002,8.468585,0.0,1.8678111
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-19,15.729,3.179,9.426917,0.0,2.0064752
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-20,15.3289995,1.829,9.070667,0.0,2.0842483
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-21,16.979,2.929,9.987334,0.0,2.2538521
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-22,12.979,3.329,7.9165,5.7,1.1771773
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-23,7.579,2.229,4.570667,0.4,1.2582884
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-24,11.179,-0.671,4.81025,0.0,1.9588652
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-25,13.279,0.47900003,6.0852504,0.0,1.8267951
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-26,12.979,0.279,7.404,0.0,1.6171784
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-27,15.3289995,6.029,10.362334,2.8999996,1.6299945
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-02-28,15.129,4.379,9.5164995,0.0,2.104538
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-01,13.779,4.579,9.39775,3.1,1.8357693
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-02,10.5789995,6.429,8.399835,17.300001,0.66500586
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-03,9.279,4.929,7.039416,15.9,0.8556003
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-04,7.1289997,2.3790002,4.4477496,5.3,1.0179439
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-05,6.8789997,1.179,3.9102504,0.6,1.2498369
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-06,10.279,-0.62099993,4.983166,0.0,1.8411357
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-07,12.0789995,2.579,7.126917,0.0,1.8895992
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-08,15.779,4.829,10.358167,0.0,2.6513746
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-09,17.429,5.729,11.731083,0.0,3.1014457
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-10,15.229,5.429,9.36025,0.0,2.0841758
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-11,15.5789995,4.029,8.693583,1.7000002,2.056085
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-12,14.0789995,3.929,8.314417,0.0,1.7373304
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-13,15.0789995,6.029,10.074833,0.0,2.3696063
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-14,15.279,5.329,10.651917,0.5,2.2736695
Negotino,41.4831,22.0894,222,153.0,-69.0,1950-03-15,14.779,6.8789997,10.9435835,0.0,2.2005546
