location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-01,3.628,-6.8805,-2.6843126,12.5,0.4633319
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-02,-3.2305002,-9.9305,-5.9617496,0.0,0.51766855
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-03,1.0695,-7.6805,-2.8492498,3.8000002,0.6180494
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-04,1.9195,-2.1305,-0.30133343,8.000001,0.73921466
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-05,0.81949997,-6.6305,-2.478417,0.1,0.60027814
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-06,4.0195,-4.7805,0.37158346,0.0,0.6899229
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-07,5.8195,2.9194999,4.354916,0.70000005,0.51833165
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-08,4.8195,-0.08050001,2.5340831,0.0,0.6812186
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-09,4.1195,-2.7305002,0.8486666,0.0,0.76183444
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-10,5.0195,-2.8804998,0.8424167,0.0,0.7250947
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-11,4.8695,-1.0304999,1.8778332,1.9000001,0.7594987
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-12,0.36949998,-8.3305,-5.582583,1.4000001,0.6236654
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-13,-4.7305,-11.1305,-7.707583,0.0,0.6812609
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-14,-2.2305,-10.5305,-5.7242503,0.0,0.6884542
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-15,2.7195,-5.6805,-1.0242498,0.0,0.78810245
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-16,4.0695,-4.0805,-0.08466669,0.0,0.84872514
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-17,5.7695,0.21949995,3.6236668,0.0,0.6797611
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-18,5.9695,3.7695,4.9674172,4.3999996,0.5807719
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-19,4.6695,2.5195,3.640334,8.700001,0.48445797
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-20,2.4194999,-2.1805,0.8486666,8.099999,0.54648656
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-21,-2.0305,-4.9805,-3.4450834,2.8000004,0.4928662
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-22,-4.8805,-8.9305,-6.976333,0.1,0.56215906
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-23,-6.3305,-11.0805,-8.893,0.3,0.5474043
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-24,-5.1305,-10.8305,-8.232583,2.4999998,0.37489676
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-25,-3.7805,-8.4805,-6.120083,0.0,0.6462363
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-26,-0.68050003,-10.2305,-4.7450833,0.0,0.8111483
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-27,1.7695,-8.0805,-2.7888334,0.0,0.9067299
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-28,2.7695,-5.7805,-1.1242498,1.2,0.84732586
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-29,5.2195,0.71949995,3.1507504,7.8,0.78619576
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-30,3.9695,1.4195,2.6528335,7.199999,0.775547
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-01-31,1.2695,-4.7305,-2.2034166,0.5,0.83914965
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-01,1.8195,-7.4805,-2.6221669,0.0,0.9446009
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-02,2.6694999,-3.0805001,-0.16799982,0.8000001,0.6642231
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-03,-1.2305,-5.9805,-3.44925,0.0,0.8293313
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-04,2.3195,-9.3805,-3.109666,0.0,1.0976279
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-05,-0.7305,-8.4305,-3.5721672,0.0,0.9485813
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-06,3.0695,-6.1305,-0.44299993,1.0,0.893687
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-07,3.8195,-0.43050003,1.5778333,6.4999995,0.74785465
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-08,6.3695,0.46949995,3.5111663,0.8000001,0.96965
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-09,6.2695,1.8195,3.9590836,0.5,1.1039654
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-10,5.5195,0.06949997,3.1049163,0.4,1.108659
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-11,6.0195,-1.5805001,2.2861667,0.0,1.276637
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-12,7.4695,2.3195,4.346584,1.3000001,1.3038898
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-13,7.7695,-0.28050005,3.6382496,0.0,1.5115076
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-14,8.8695,0.8695,4.746584,0.0,1.6124146
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-15,8.9695,2.2695,5.4736667,0.0,1.4253232
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-16,8.0695,-0.6305001,3.6590834,0.0,1.435194
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-17,9.4195,2.4194999,5.7090836,0.0,1.7476026
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-18,11.2195,2.8195,6.352833,0.0,1.7356819
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-19,12.9695,3.4695,7.7465825,0.0,1.9653409
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-20,13.8695,3.9695,8.28825,0.0,2.1024215
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-21,12.4695,1.1695,6.7757497,0.0,1.9667363
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-22,7.8695,1.8195,5.0174165,10.9,0.5066146
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-23,6.2195,0.56949997,3.1445005,0.1,1.342562
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-24,7.9695,-0.28050005,3.5986664,0.0,1.8007197
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-25,9.4695,0.9195,4.8695,0.0,1.8238882
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-26,10.6195,3.5695,7.1945,3.9999998,1.0981272
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-27,10.8695,4.9195,7.854917,14.7,1.7346271
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-02-28,9.6195,2.0695,6.073667,1.9,1.7752103
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-03-01,11.9195,4.1195,7.6695004,0.0,1.9857556
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-03-02,6.9195,3.2695,5.146584,10.299999,0.8059509
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-03-03,7.2695,2.0695,4.2778325,11.700001,1.0649571
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-03-04,5.3195,0.4195,2.5174162,3.6999996,0.8779864
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-03-05,4.3195,-1.2804999,1.3632499,0.0,1.3080742
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-03-06,8.1195,0.36949998,4.029917,0.0,1.8763152
Ohrid,41.1231,20.8016,695,702.0,7.0,1950-03-07,10.7195,1.5695,6.0611672,0.0,2.1729147
