location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-01,1.0835,-7.4415,-2.269625,5.4999995,0.45352274
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-02,-0.9914999,-5.9915,-3.4998333,0.0,0.78482294
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-03,2.9085,-8.1915,-1.8123335,0.7,0.75941837
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-04,1.7585,-3.5914998,-1.38525,3.7999997,0.6604198
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-05,1.0085,-7.6915,-3.6310833,0.2,0.6837115
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-06,3.6585,-8.341499,-1.9081665,0.0,0.76212406
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-07,5.5085,-1.8415,1.7855834,0.5,0.5089298
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-08,6.2085,-2.6415,1.2835,0.0,0.7364137
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-09,7.2585,-3.1915002,0.9480834,0.0,0.8649237
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-10,8.3085,-3.3915,2.26475,0.0,0.8063843
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-11,5.7085,-0.041499972,2.2709997,5.2,0.7913355
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-12,-0.9914999,-10.9415,-6.218584,0.4,0.67619747
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-13,-3.4415002,-9.741501,-6.5748343,0.0,0.81797343
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-14,-0.7915001,-9.6915,-5.3081665,0.0,0.7821519
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-15,5.2585,-6.3915,-0.67483324,0.0,0.98135227
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-16,7.3085,-4.0415,0.5001668,0.0,0.99755436
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-17,9.2585,-2.8915,2.38975,0.0,1.0001724
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-18,9.1085,1.6085,4.785583,1.6000001,0.78530866
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-19,6.7585,3.2585,4.5397496,9.099999,0.3506199
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-20,3.1085,-3.5914998,-0.11233332,21.499998,0.34283507
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-21,-3.3414998,-8.491501,-5.049834,2.3999996,0.52121127
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-22,-5.2915,-17.9915,-10.191501,0.0,0.5903227
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-23,-5.8915,-14.9415,-10.099832,0.2,0.5965406
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-24,-4.2415,-12.0415,-8.201918,0.9000001,0.4627386
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-25,-1.7414999,-16.4915,-8.045667,0.0,0.7353976
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-26,-0.041499972,-22.2415,-9.039417,0.0,0.8227801
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-27,1.6085,-17.1915,-7.2206674,0.0,0.88092345
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-28,2.4585,-17.8915,-5.408167,0.0,0.85478824
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-29,4.0085,-4.3415,-0.29775,1.6000001,0.7650402
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-30,6.1085,-2.2915,0.7501667,2.6000001,1.0275207
Prilep,41.3453,21.555,640,655.0,15.0,1950-01-31,-2.1415,-12.1415,-5.414417,1.3000001,0.7204224
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-01,2.6585,-19.341501,-7.2831683,0.0,0.91456914
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-02,0.7585,-11.5415,-4.17275,0.2,0.7679987
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-03,-2.0915,-12.7915,-6.1102505,0.0,0.8281547
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-04,1.4585,-19.0415,-7.556085,0.0,1.0682676
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-05,0.108500004,-13.341499,-6.5435834,0.0,1.0035698
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-06,2.2085,-14.091499,-5.28525,0.0,0.9139273
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-07,3.6585,-4.3415,0.100166745,1.2000002,0.68902856
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-08,4.8085003,-2.6915002,1.78975,0.9000001,0.8142095
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-09,6.2585,-0.7414999,2.2480834,0.0,0.9806661
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-10,6.5085,-0.9914999,2.08975,0.0,1.2617627
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-11,7.2085,-3.5415,1.4855834,0.0,1.3242768
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-12,11.158501,-2.3915,3.5105836,0.0,1.6102047
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-13,10.2085,-1.9914999,3.1959999,0.0,1.6701506
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-14,11.3585,-1.2915001,4.096,0.0,1.6611571
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-15,10.1085,-1.2915001,4.356416,0.0,1.4141511
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-16,10.1085,0.40850002,4.9043336,0.0,1.6581559
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-17,12.3585,1.3585,6.9001675,0.0,2.0065024
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-18,13.158501,1.8085,7.6480827,0.0,1.9367094
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-19,13.8085,2.8085,8.3335,0.0,1.9911609
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-20,14.008499,1.3585,8.096,0.0,2.0626495
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-21,15.2085,-0.8915,6.8314166,0.0,2.289906
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-22,9.8085,1.3085,4.521,8.7,0.7616259
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-23,4.6085,-0.84150004,2.204333,0.0,1.135723
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-24,9.4585,-2.2415,2.8897498,0.0,1.9283813
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-25,11.1085,-2.3415,4.431417,0.0,1.916654
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-26,11.3585,-0.6415,6.2251663,0.3,1.5378227
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-27,13.008499,3.4585,8.262667,3.6999996,2.0158067
Prilep,41.3453,21.555,640,655.0,15.0,1950-02-28,11.158501,0.8085,6.4522495,0.0,2.027597
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-01,11.408501,2.4085,6.6918335,0.8000001,1.832863
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-02,7.3085,4.8085003,5.923084,20.199999,0.52344126
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-03,6.0585,2.7085,4.5189166,15.500001,0.68374074
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-04,4.9084997,1.2585,2.7501667,6.3000007,0.78490055
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-05,4.7085,0.6085,2.248083,0.4,1.0832229
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-06,7.9085,-0.7414999,3.7585,0.0,1.7341644
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-07,10.658501,1.9585,6.210583,0.0,1.986354
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-08,14.258499,2.6585,8.6335,0.0,2.5749574
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-09,15.408501,1.4585,8.81475,0.0,2.929826
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-10,14.3085,4.1584997,8.120999,0.0,2.2751937
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-11,13.6085,1.7085,6.904333,0.6,2.1426702
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-12,12.408501,2.0585,6.562666,0.0,1.7890581
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-13,11.7085,0.3585,6.296,0.3,2.126533
Prilep,41.3453,21.555,640,655.0,15.0,1950-03-14,11.8085,0.6085,7.173083,0.7,2.0370867
