location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-01,3.493,-4.257,0.11522917,1.4000001,0.7223056
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-02,0.84300005,-5.1070004,-2.6111667,0.0,0.76555383
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-03,3.243,-3.5069997,-0.31949985,0.0,0.7517093
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-04,4.393,-2.1069999,0.45133343,0.3,0.7710087
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-05,3.693,-1.6069999,0.40550002,0.7,0.94312555
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-06,6.0930004,-1.757,1.368,0.0,0.8960494
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-07,6.743,-1.3569999,2.56175,2.3,0.5298846
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-08,7.1429996,-3.457,1.3304999,0.0,0.90629464
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-09,8.443,0.34300005,4.29925,0.0,0.92847705
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-10,10.293,0.9430001,3.7867498,0.0,1.0289297
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-11,6.943,0.2930001,3.0513337,5.1,0.7554126
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-12,-0.35699987,-9.457,-5.4882493,0.8000001,0.8569563
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-13,-3.207,-11.157001,-7.5486665,0.0,0.902379
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-14,-0.5569999,-11.157001,-5.802833,0.0,0.84700054
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-15,5.6429996,-6.457,-0.042416815,0.4,0.93659735
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-16,7.3430004,-2.4069998,1.6075835,0.0,0.9671283
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-17,9.043,-1.707,2.4596665,0.0,1.0510921
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-18,10.393,0.19300008,4.7325835,0.3,1.027169
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-19,9.443,3.543,6.3159165,6.1000004,0.5714754
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-20,4.793,-2.7569997,1.0138333,18.6,0.30050692
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-21,-3.0069997,-10.007,-5.5590825,1.8000002,0.44697636
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-22,-2.707,-14.257,-8.504916,0.0,0.6956944
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-23,-3.607,-14.157001,-9.254918,0.0,0.7249737
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-24,-2.957,-16.456999,-8.486168,0.0,0.6984854
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-25,0.19300008,-12.957,-6.1757503,0.0,0.88315564
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-26,0.89300007,-16.757,-6.8570004,0.0,0.93197453
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-27,2.193,-12.807,-4.921583,0.0,1.000184
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-28,2.693,-10.257,-3.1903327,0.0,0.8966331
Radovis,41.6386,22.4647,370,383.0,13.0,1950-01-29,2.7930002,-3.7569997,-0.15491664,8.4,0.46928215
