location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-01,2.622,-4.9160004,-0.44775,0.6,0.64062613
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-02,0.23400003,-7.4160004,-3.763917,0.0,0.7778426
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-03,3.0340002,-5.616,-1.2264167,0.8,0.76214266
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-04,5.284,-1.4159999,1.4110832,0.6,0.77133685
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-05,5.184,-2.816,1.1006666,0.4,1.0125369
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-06,6.784,-1.1659999,2.72775,0.0,0.906829
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-07,7.2339997,-1.9659998,3.4527495,1.4000001,0.42726707
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-08,8.334,-2.9659998,2.1610835,0.0,0.7799386
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-09,9.684,-0.46600002,3.956916,0.0,0.9779469
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-10,10.134,-2.016,3.531916,0.0,0.82564163
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-11,7.3339996,-0.366,3.4715004,3.3000002,0.69981414
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-12,-1.516,-8.666,-5.3034997,0.0,0.82402444
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-13,-1.6659999,-8.516,-5.7034993,0.0,0.942282
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-14,1.584,-5.866,-2.5243332,0.0,0.8229867
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-15,8.034,-3.4659998,2.66525,0.0,1.01122
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-16,9.084,-0.81600004,3.5277498,0.0,1.0844829
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-17,9.384,0.23400003,4.5402503,0.0,0.9274595
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-18,10.684,4.4839997,7.119417,1.1000001,0.84016764
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-19,9.283999,3.184,6.729833,10.1,0.37148383
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-20,2.934,-5.5160003,-1.99725,16.4,0.29657224
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-21,-3.3159997,-11.116,-6.4035,1.5000001,0.5288142
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-22,-3.066,-17.216,-8.920166,0.0,0.6315823
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-23,-3.9659998,-14.016,-8.745169,0.0,0.62667793
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-24,-3.6660001,-12.566,-7.7784996,0.0,0.5824085
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-25,-2.2159998,-13.966001,-6.7555842,0.0,0.748858
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-26,-0.21600002,-17.216,-8.459751,0.0,0.89968073
Skopje,41.9965,21.4314,240,247.0,7.0,1950-01-27,1.6340001,-16.216,-6.8847504,0.0,0.972325
