location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-01,4.5889997,-3.6615,0.9885209,3.5999994,0.6619358
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-02,1.6385,-4.3615,-1.5927497,0.0,0.7502312
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-03,3.2884998,-3.1114998,0.15100013,0.0,0.7480486
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-04,5.3385,-1.1615001,1.1989166,0.5,0.88866246
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-05,4.9385,-1.3614999,1.0405834,0.4,1.1001449
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-06,6.6385,-0.7615,2.4468331,0.0,0.9588066
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-07,7.8385,-0.6615001,3.2489166,1.0,0.6545447
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-08,8.3385,-2.2115002,2.0885003,0.0,0.9608107
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-09,9.3385,1.3385,5.11975,0.0,1.0517039
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-10,11.138499,0.03849995,4.0801673,0.0,1.1522294
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-11,7.4385,0.2385,3.223917,10.999999,0.7601322
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-12,-0.31149995,-10.4115,-5.1406665,4.8,0.7570767
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-13,-2.7114997,-12.7615,-8.317748,0.0,0.79091334
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-14,-0.81149995,-13.7615,-6.8260827,0.0,0.8702866
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-15,5.2385,-8.9115,-0.996917,0.4,0.93786246
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-16,6.3885,-4.0615,1.4551668,0.0,0.94297063
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-17,6.6385,-2.1615,2.4843335,0.0,1.0359071
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-18,10.2885,2.6885,5.9364166,0.0,1.107427
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-19,9.3885,4.4885,6.98225,6.1,0.60486734
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-20,5.7385,-1.2615,2.1739166,21.9,0.29289553
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-21,-1.7115,-8.7615,-4.3573327,2.3,0.48670062
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-22,-1.9615,-13.4615,-7.8489995,0.0,0.7727935
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-23,-3.0115,-14.5115,-8.753166,0.1,0.71239287
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-24,-2.9614997,-16.8615,-8.309417,0.0,0.6900317
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-25,0.6385,-13.111501,-5.7448335,0.0,0.8807933
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-26,1.6885,-17.7615,-6.896916,0.0,0.9048728
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-27,2.0885,-14.5615,-5.1177506,0.0,1.0156803
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-28,2.7884998,-13.111501,-3.2823336,0.0,0.95585114
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-29,2.6385,-3.0115,0.27599993,7.7000003,0.5016543
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-30,3.1385,-0.7615,1.2718333,6.4999995,0.6496666
Strumica,41.4378,22.6431,230,230.0,0.0,1950-01-31,0.5885,-8.0115,-3.44275,3.8999999,0.65124786
Strumica,41.4378,22.6431,230,230.0,0.0,1950-02-01,0.28849995,-17.2115,-6.103166,0.0,0.8929866
Strumica,41.4378,22.6431,230,230.0,0.0,1950-02-02,2.2885,-10.7615,-3.553167,0.1,0.86707556
Strumica,41.4378,22.6431,230,230.0,0.0,1950-02-03,-0.6114999,-12.611501,-5.838583,0.0,0.9435206
Strumica,41.4378,22.6431,230,230.0,0.0,1950-02-04,1.8885,-16.6115,-6.069834,0.0,1.0852678
Strumica,41.4378,22.6431,230,230.0,0.0,1950-02-05,-0.8614999,-11.9115,-5.457333,0.1,0.8750343
Strumica,41.4378,22.6431,230,230.0,0.0,1950-02-06,0.5885,-6.0615,-2.882333,0.0,0.7176546
Strumica,41.4378,22.6431,230,230.0,0.0,1950-02-07,4.4385,-4.0115,1.0634999,3.3000002,0.42932215
Strumica,41.4378,22.6431,230,230.0,0.0,1950-02-08,6.3885,3.6885,4.923917,4.4,0.5200065
Strumica,41.4378,22.6431,230,230.0,0.0,1950-02-09,7.5385003,1.3885,4.5572495,0.0,0.8880494
Strumica,41.4378,22.6431,230,230.0,0.0,1950-02-10,8.7885,-1.9615,3.36975,0.0,1.2991811
