location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-01,1.0840003,-6.0940003,-2.11575,1.4000001,0.47844648
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-02,-1.194,-12.4939995,-6.4252496,0.0,0.68168634
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-03,3.506,-13.143999,-3.302334,2.3,0.75166726
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-04,3.006,-3.3439999,-0.34608328,1.5000001,0.69435424
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-05,2.456,-9.294001,-2.85025,0.8,0.7868664
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-06,6.356,-4.444,1.78725,0.0,0.8005599
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-07,7.256,-0.39400005,4.051833,2.4,0.46152726
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-08,7.656,-1.744,2.4268334,0.0,0.8278421
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-09,8.556,-4.544,2.0643332,0.0,0.9891662
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-10,7.706,-5.8939996,1.78725,0.0,0.7186896
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-11,6.806,-0.7939999,2.6101673,3.1000001,0.7195443
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-12,-1.9439998,-11.893999,-7.3627496,0.0,0.62529796
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-13,-3.5939999,-12.694,-8.406499,0.0,0.7423445
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-14,0.15600014,-9.444,-4.960667,0.0,0.81626123
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-15,6.256,-7.994,0.5726666,0.0,0.8906151
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-16,8.856,-6.494,1.2122499,0.0,1.0737458
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-17,9.106,-1.244,3.7268333,0.0,0.8455018
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-18,9.656,3.306,5.966417,2.4,0.7517616
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-19,8.056,2.9060001,5.360167,17.5,0.43586203
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-20,2.706,-5.8440003,-2.60025,18.200003,0.31168166
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-21,-3.6939998,-10.393999,-6.523166,1.5000002,0.4607689
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-22,-4.494,-16.244,-9.154416,0.1,0.52985936
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-23,-5.8939996,-14.7439995,-9.600248,0.0,0.5841812
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-24,-4.594,-12.794001,-9.179416,0.0,0.51514304
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-25,-2.0440001,-10.794001,-7.1106677,0.0,0.7210847
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-26,1.2060001,-12.7439995,-6.1460834,0.0,0.9771172
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-27,3.606,-11.544001,-4.8856664,0.0,1.055604
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-28,4.006,-12.344,-3.0315006,0.0,0.8436448
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-29,4.5559998,0.60599995,2.2726667,11.300001,0.50740635
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-30,4.506,-3.244,1.4185001,7.6999993,0.6957745
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-01-31,-3.6939998,-13.094,-7.327333,0.1,0.7124834
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-01,2.806,-14.393999,-5.50025,0.0,1.0905348
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-02,2.106,-7.1439996,-2.5565002,0.8,0.6913007
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-03,-1.3439999,-10.143999,-5.6439996,0.0,0.9269805
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-04,2.506,-9.944,-3.9481668,0.0,1.1975528
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-05,0.85600007,-8.444,-3.5377502,0.0,1.1832871
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-06,3.206,-7.8939996,-2.2127502,0.2,0.9006172
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-07,3.756,-2.8439999,0.83724993,3.1,0.61028177
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-08,7.106,1.306,3.7789166,0.0,0.98563796
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-09,7.956,1.156,4.001833,0.6,1.0443933
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-10,7.706,-1.244,3.1622498,0.1,1.2626756
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-11,10.406,-4.094,2.5851667,0.0,1.4792879
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-12,8.705999,0.20600009,4.4268336,1.5,1.091604
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-13,9.5060005,-2.0939999,3.9143336,0.0,1.6781825
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-14,9.656,-0.194,5.1351657,0.0,1.7964156
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-15,9.356,1.056,5.183083,0.0,1.4096607
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-16,9.205999,-2.994,4.030999,0.0,1.6306427
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-17,10.955999,2.956,7.1018333,0.0,1.7711395
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-18,13.656,2.206,7.605999,0.0,1.8716352
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-19,14.806,2.6560001,7.9080834,0.0,1.9658229
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-20,14.406,-0.04399991,6.8705826,0.0,2.0494418
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-21,15.455999,-0.694,7.201834,0.0,2.0398443
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-22,9.0060005,2.4060001,4.991416,13.600001,0.50848603
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-23,5.256,-1.8439999,2.5143335,0.4,1.1846949
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-24,10.205999,-4.394,2.3309999,0.0,1.9510285
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-25,11.455999,-2.994,4.3184996,0.0,1.8475499
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-26,11.156,-0.14400005,6.2747498,1.9000001,1.3996543
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-27,12.306,5.256,8.405999,9.700001,1.7860157
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-02-28,11.056,1.7060001,6.591417,0.0,1.9064581
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-01,12.556,0.40600014,6.9914165,0.2,2.0045342
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-02,7.906,3.256,5.7018332,29.800001,0.67404425
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-03,5.156,1.406,3.260167,15.0,1.002513
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-04,3.106,-1.644,1.2039169,3.8999999,0.8504842
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-05,4.8059998,-2.244,1.9997501,2.0000002,0.9328316
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-06,6.4560003,-0.444,3.2247498,0.1,1.4884461
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-07,8.556,1.906,4.8580832,0.0,1.6758128
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-08,13.806,2.556,6.8268337,0.0,2.321098
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-09,16.006,0.906,9.403916,0.0,2.7953153
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-10,15.106001,1.406,8.628918,0.0,2.3335953
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-11,12.656,2.956,7.0185,4.3999996,1.5158429
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-12,12.806,1.8560001,7.0435004,0.1,1.901632
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-13,12.906,0.306,7.1143336,0.5,2.1970973
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-14,13.0060005,3.306,8.462251,1.9000001,2.204901
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-15,14.856001,1.156,8.953917,0.0,2.465227
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-16,15.406,7.256,10.828918,0.8,2.3985982
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-17,14.205999,3.356,9.3497505,4.7,2.1395504
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-18,15.156,3.556,9.976832,0.1,2.2098434
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-19,14.455999,6.106,9.472667,0.70000005,2.2392564
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-20,11.955999,2.206,8.053917,5.7999997,1.5581194
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-21,11.856001,2.306,7.1018333,0.5,2.1200523
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-22,10.156,2.706,6.2643323,4.5,1.667826
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-23,11.7560005,1.8560001,7.724749,0.4,2.2824776
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-24,12.5060005,2.956,7.6664166,6.6,2.621867
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-25,9.356,0.50600004,5.056,0.2,2.2061932
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-26,8.556,3.1560001,5.5080833,1.3000001,2.2447867
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-27,9.156,2.1560001,5.4080834,0.5,1.7543203
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-28,13.556,2.006,7.6997495,0.0,2.0286083
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-29,16.706,1.4560001,9.883083,0.4,3.1175337
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-30,14.0060005,5.3059998,9.470584,1.2,1.9506207
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-03-31,15.656,7.506,10.672666,9.700002,1.5489817
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-01,12.205999,6.906,9.218501,5.5,1.1127448
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-02,13.806,6.0559998,9.587251,2.3,1.5571071
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-03,13.2560005,5.5559998,9.376833,6.1,2.0066135
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-04,14.556,4.506,9.420584,7.8999996,2.375231
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-05,12.906,5.8059998,8.856,15.8,0.90933424
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-06,9.455999,4.856,7.4684997,0.1,1.9228747
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-07,8.5060005,4.5559998,6.8789163,2.8999996,2.0247169
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-08,11.406,2.106,7.4372487,0.70000005,2.6313877
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-09,14.0060005,3.106,8.716416,0.0,3.1192312
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-10,18.106,2.056,10.758082,1.9000001,3.6489992
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-11,17.106,6.356,11.649751,0.0,3.4297523
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-12,19.606,3.6560001,12.870584,0.0,3.3448408
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-13,21.056,4.856,13.895583,0.0,3.1577725
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-14,19.956001,10.806,15.0685,8.2,1.5002351
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-15,22.206001,11.806,16.885164,0.0,3.4852872
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-16,22.256,9.2560005,16.028917,4.5,3.5245235
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-17,18.406,7.356,13.551834,1.3000001,3.2078881
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-18,19.806,4.9560003,13.214333,0.0,3.8677874
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-19,15.556,10.356,13.16225,9.0,2.0214524
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-20,21.956001,8.806,16.0435,6.7999997,2.733796
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-21,23.956001,8.606,17.870584,1.0,3.6961439
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-22,26.656,14.5060005,19.139332,5.2,3.655649
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-23,22.206001,10.906,16.485167,6.2,3.4685898
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-24,17.906,8.856,13.089333,1.0,3.5093338
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-25,17.856,6.956,12.658081,0.2,3.387286
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-26,16.906,7.956,12.428918,0.5,3.248547
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-27,20.706001,4.4560003,14.426834,0.0,4.3180904
Tetovo,42.0092,20.9714,468,468.0,0.0,1950-04-28,22.856,9.7560005,17.085169,0.9,4.4568443
