location,latitude,longitude,elevation_station_m,elevation_era5_m,elevation_diff_m,date,temperature_max,temperature_min,temperature_mean,precipitation_sum,et0_evapotranspiration
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-01,3.2665,-3.1555,0.5266667,1.2,0.8017273
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-02,0.69449997,-5.9555,-2.71175,0.0,0.831608
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-03,3.0945,-5.0055,-1.0638336,0.3,0.7973442
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-04,5.6945,-1.4054999,1.4569999,1.4000001,0.85313004
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-05,5.1945,-2.0555,1.0799168,0.3,1.0073164
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-06,6.2945,-2.5054998,1.4111668,0.0,0.84794027
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-07,6.6945,-1.1554999,2.7069998,1.7,0.4307423
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-08,7.4445,-2.9055,1.3215832,0.0,0.7823551
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-09,9.1445,-0.25550002,3.8715832,0.0,0.9385896
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-10,10.0945,-1.7054999,2.8028336,0.0,0.863208
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-11,7.6945,0.5445,3.1840832,3.2,0.75239336
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-12,-0.5055,-7.7555003,-4.0804996,0.0,0.9789474
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-13,-1.2054999,-8.1055,-5.3867497,0.0,0.94612694
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-14,1.2945,-6.0555,-2.8138335,0.0,0.9126163
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-15,7.0445,-4.3055,1.2361666,0.0,1.0108591
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-16,8.3945,-1.7554998,2.7361662,0.0,1.0122623
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-17,10.1445,-0.25550002,3.9903333,0.0,0.97655785
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-18,11.494499,2.2445,6.4674153,1.9000003,0.95928055
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-19,9.8445,5.0445,7.209083,9.1,0.40774712
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-20,4.6945,-3.7554998,-0.15966667,19.699997,0.30913514
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-21,-2.8055,-7.9055,-5.4138336,1.4000001,0.5348144
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-22,-2.6555,-14.8055,-8.249251,0.0,0.6544415
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-23,-3.9555001,-12.9055,-8.230502,0.0,0.65997404
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-24,-2.4555,-10.9055,-6.426334,0.0,0.6043018
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-25,-0.5555,-12.455501,-6.2117505,0.0,0.79126036
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-26,0.044499993,-15.0555,-7.217999,0.0,0.85402584
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-27,1.1945,-14.4055,-5.9950843,0.0,0.9149188
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-28,1.6445,-12.9055,-4.182583,0.0,0.79565257
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-29,2.9445,-3.1055,-0.051333327,3.9000003,0.5232348
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-30,3.3445,-2.7055,0.5549167,4.5000005,0.66838807
Veles,41.7153,21.7753,230,206.0,-24.0,1950-01-31,-3.2554998,-11.505501,-6.3492494,1.0,0.69910157
Veles,41.7153,21.7753,230,206.0,-24.0,1950-02-01,0.1445,-15.7055,-7.015917,0.0,0.8560886
Veles,41.7153,21.7753,230,206.0,-24.0,1950-02-02,1.4944999,-9.455501,-3.745083,0.2,0.781674
Veles,41.7153,21.7753,230,206.0,-24.0,1950-02-03,-1.6055,-11.3055,-6.0825825,0.0,0.8091063
Veles,41.7153,21.7753,230,206.0,-24.0,1950-02-04,1.4445,-15.505501,-6.382584,0.0,1.1071963
Veles,41.7153,21.7753,230,206.0,-24.0,1950-02-05,-0.005499989,-11.755501,-5.5742497,0.0,0.95177275
Veles,41.7153,21.7753,230,206.0,-24.0,1950-02-06,1.0445,-11.005501,-4.490916,0.0,0.80701953
